id_siswa,nama_siswa,rata_nilai,hadir,sakit,izin,alpha,skor_motivasi,skor_disiplin,status_risiko
41,Siswa 41,86,84,3,0,13,45,48,1
42,Siswa 42,46,86,4,0,10,52,95,1
43,Siswa 43,44,84,7,6,3,63,70,1
44,Siswa 44,92,77,7,4,12,55,86,1
45,Siswa 45,56,82,2,5,11,76,49,1
46,Siswa 46,52,93,0,4,3,95,69,0
47,Siswa 47,61,74,8,6,12,100,88,1
48,Siswa 48,77,81,2,6,11,63,63,1
49,Siswa 49,69,93,0,3,4,96,48,1
50,Siswa 50,44,93,0,4,3,53,70,1
51,Siswa 51,70,79,4,6,11,70,54,1
52,Siswa 52,92,84,6,8,2,53,75,0
53,Siswa 53,53,90,3,2,5,94,54,1
54,Siswa 54,73,93,4,0,3,91,41,0
55,Siswa 55,55,75,7,5,13,76,88,0
56,Siswa 56,84,81,7,5,7,81,81,0
57,Siswa 57,49,84,6,5,5,58,76,1
58,Siswa 58,68,95,2,2,1,49,60,1
59,Siswa 59,53,91,2,4,3,46,70,1
60,Siswa 60,85,81,1,8,10,40,82,1
61,Siswa 61,78,87,0,3,10,70,70,0
62,Siswa 62,63,89,3,2,6,84,40,1
63,Siswa 63,78,85,3,4,8,69,60,1
64,Siswa 64,90,89,0,3,8,82,68,0
65,Siswa 65,79,80,7,2,11,60,60,1
66,Siswa 66,89,84,2,5,9,51,58,1
67,Siswa 67,76,91,3,0,6,100,94,0
68,Siswa 68,99,95,0,2,3,89,82,0
69,Siswa 69,69,82,4,2,12,47,66,1
70,Siswa 70,84,83,5,4,8,74,85,0
71,Siswa 71,61,89,4,4,3,66,57,1
72,Siswa 72,50,80,3,3,14,65,73,1
73,Siswa 73,59,75,7,7,11,65,96,1
74,Siswa 74,88,81,7,8,4,43,42,1
75,Siswa 75,48,87,1,6,6,93,47,1
76,Siswa 76,58,92,4,4,0,99,58,1
77,Siswa 77,88,83,2,0,15,68,86,1
78,Siswa 78,43,86,8,5,1,97,47,1
79,Siswa 79,50,78,6,8,8,62,73,1
80,Siswa 80,87,81,2,3,14,88,96,1
81,Siswa 81,48,90,1,4,5,89,54,1
82,Siswa 82,88,78,7,1,14,83,84,1
83,Siswa 83,64,82,8,4,6,79,42,1
84,Siswa 84,45,94,0,0,6,91,77,0
85,Siswa 85,85,79,0,8,13,74,68,1
86,Siswa 86,94,78,4,6,12,66,60,1
87,Siswa 87,87,87,3,8,2,91,96,0
88,Siswa 88,100,95,1,2,2,66,74,1
89,Siswa 89,59,91,4,0,5,73,43,1
90,Siswa 90,79,84,7,8,1,65,68,1
91,Siswa 91,60,81,8,7,4,60,47,1
92,Siswa 92,56,85,4,7,4,56,73,1
93,Siswa 93,80,73,7,8,12,47,68,1
94,Siswa 94,80,80,7,3,10,45,64,1
95,Siswa 95,91,80,2,6,12,83,75,0
96,Siswa 96,91,91,4,2,3,94,99,0
97,Siswa 97,47,89,2,7,2,43,79,1
98,Siswa 98,97,80,1,6,13,52,91,1
99,Siswa 99,53,94,1,0,5,82,67,1
100,Siswa 100,44,93,3,2,2,75,50,1
101,Siswa 101,62,81,1,8,10,100,83,0
102,Siswa 102,96,90,2,2,6,66,62,1
103,Siswa 103,97,87,3,8,2,55,41,1
104,Siswa 104,73,94,0,4,2,92,90,0
105,Siswa 105,46,89,4,7,0,48,43,1
106,Siswa 106,65,78,3,4,15,69,86,1
107,Siswa 107,93,85,3,5,7,73,95,0
108,Siswa 108,96,82,0,7,11,90,81,1
109,Siswa 109,57,76,3,6,15,49,100,1
110,Siswa 110,50,86,6,8,0,59,93,1
111,Siswa 111,96,91,2,6,1,62,43,1
112,Siswa 112,41,82,5,6,7,60,88,1
113,Siswa 113,53,93,3,3,1,95,80,1
114,Siswa 114,98,80,8,8,4,72,42,0
115,Siswa 115,97,78,8,4,10,91,99,0
116,Siswa 116,79,94,2,2,2,93,50,0
117,Siswa 117,50,84,3,8,5,48,48,1
118,Siswa 118,50,82,3,3,12,85,84,1
119,Siswa 119,41,85,0,1,14,88,82,1
120,Siswa 120,89,93,0,4,3,41,78,0
121,Siswa 121,73,93,3,2,2,45,68,0
122,Siswa 122,65,82,1,7,10,74,64,0
123,Siswa 123,71,83,3,3,11,95,72,1
124,Siswa 124,61,93,0,6,1,79,62,0
125,Siswa 125,68,86,0,8,6,89,52,1
126,Siswa 126,46,81,1,3,15,61,100,1
127,Siswa 127,100,79,3,4,14,52,93,1
128,Siswa 128,42,92,6,2,0,91,51,1
129,Siswa 129,70,81,3,6,10,52,94,1
130,Siswa 130,46,88,4,2,6,83,79,1
131,Siswa 131,43,81,6,7,6,73,92,1
132,Siswa 132,52,91,1,0,8,83,99,1
133,Siswa 133,92,84,6,0,10,56,54,1
134,Siswa 134,60,88,0,3,9,95,95,1
135,Siswa 135,92,80,0,8,12,63,54,1
136,Siswa 136,83,75,2,8,15,76,97,1
137,Siswa 137,45,82,7,6,5,89,83,1
138,Siswa 138,76,90,1,4,5,90,72,0
139,Siswa 139,95,81,4,0,15,69,70,1
140,Siswa 140,90,91,1,7,1,80,76,0
141,Siswa 141,42,87,3,4,6,53,68,1
142,Siswa 142,88,86,3,1,10,99,40,1
143,Siswa 143,96,93,6,1,0,100,47,0
144,Siswa 144,60,89,4,7,0,53,95,1
145,Siswa 145,74,93,7,0,0,95,82,0
146,Siswa 146,49,78,8,4,10,54,90,1
147,Siswa 147,54,81,3,1,15,82,43,1
148,Siswa 148,96,84,1,0,15,41,60,1
149,Siswa 149,89,85,6,6,3,45,63,0
150,Siswa 150,66,85,1,1,13,100,54,1
151,Siswa 151,51,86,2,7,5,45,92,1
152,Siswa 152,93,80,2,8,10,40,69,1
153,Siswa 153,48,88,4,3,5,95,69,1
154,Siswa 154,85,79,2,4,15,44,60,1
155,Siswa 155,88,77,7,3,13,42,95,1
156,Siswa 156,91,72,5,8,15,82,45,1
157,Siswa 157,48,82,7,0,11,90,64,1
158,Siswa 158,49,73,7,6,14,87,84,1
159,Siswa 159,42,86,2,4,8,72,80,1
160,Siswa 160,73,82,5,5,8,60,46,1
161,Siswa 161,51,84,1,0,15,56,54,1
162,Siswa 162,45,87,3,8,2,54,58,1
163,Siswa 163,52,86,5,2,7,86,86,1
164,Siswa 164,58,86,4,8,2,45,78,1
165,Siswa 165,79,89,3,5,3,51,55,0
166,Siswa 166,68,80,6,1,13,60,85,1
167,Siswa 167,70,87,4,6,3,62,93,0
168,Siswa 168,96,80,4,5,11,77,53,1
169,Siswa 169,44,83,0,7,10,74,45,1
170,Siswa 170,83,75,3,7,15,44,94,1
171,Siswa 171,54,80,3,4,13,58,87,1
172,Siswa 172,91,87,7,4,2,76,52,0
173,Siswa 173,43,85,1,8,6,60,64,1
174,Siswa 174,78,87,2,0,11,93,46,0
175,Siswa 175,81,75,5,8,12,83,64,1
176,Siswa 176,75,86,2,7,5,54,67,0
177,Siswa 177,59,93,4,1,2,57,40,1
178,Siswa 178,46,87,5,1,7,52,87,1
179,Siswa 179,89,84,7,8,1,99,81,0
180,Siswa 180,73,86,6,4,4,96,70,0
181,Siswa 181,47,79,7,8,6,78,54,1
182,Siswa 182,89,83,5,0,12,74,88,1
183,Siswa 183,58,91,1,2,6,92,47,1
184,Siswa 184,48,76,7,2,15,60,75,1
185,Siswa 185,51,82,1,6,11,80,74,1
186,Siswa 186,77,74,8,6,12,65,65,1
187,Siswa 187,68,78,7,4,11,61,53,1
188,Siswa 188,79,86,0,8,6,72,79,0
189,Siswa 189,94,85,2,4,9,44,54,1
190,Siswa 190,46,87,3,6,4,45,46,1
191,Siswa 191,65,84,5,3,8,88,70,1
192,Siswa 192,77,85,4,7,4,57,60,0
193,Siswa 193,62,78,8,7,7,84,42,1
194,Siswa 194,89,82,1,2,15,66,68,1
195,Siswa 195,50,87,6,5,2,51,47,1
196,Siswa 196,96,83,6,8,3,62,41,0
197,Siswa 197,57,88,5,4,3,80,44,1
198,Siswa 198,52,90,3,6,1,63,65,1
199,Siswa 199,67,84,4,5,7,81,70,1
200,Siswa 200,80,89,7,4,0,85,95,0
201,Siswa 201,79,77,3,7,13,83,70,1
202,Siswa 202,82,94,3,1,2,93,75,0
203,Siswa 203,91,87,5,0,8,63,57,1
204,Siswa 204,68,92,1,6,1,40,82,1
205,Siswa 205,46,83,6,2,9,75,100,1
206,Siswa 206,58,84,3,1,12,96,57,1
207,Siswa 207,44,91,0,7,2,63,92,1
208,Siswa 208,93,80,6,1,13,86,77,1
209,Siswa 209,42,86,3,3,8,50,68,1
210,Siswa 210,70,83,7,1,9,56,55,1
211,Siswa 211,74,81,0,4,15,69,73,1
212,Siswa 212,43,82,4,5,9,59,53,1
213,Siswa 213,43,88,5,2,5,44,81,1
214,Siswa 214,100,99,1,0,0,98,76,0
215,Siswa 215,72,78,2,5,15,61,82,1
216,Siswa 216,72,80,4,8,8,74,92,0
217,Siswa 217,76,83,4,7,6,78,59,1
218,Siswa 218,45,84,6,2,8,61,99,1
219,Siswa 219,65,78,7,2,13,41,41,1
220,Siswa 220,48,94,2,3,1,60,49,1
221,Siswa 221,46,79,2,6,13,64,86,1
222,Siswa 222,92,88,4,3,5,74,78,0
223,Siswa 223,98,83,0,8,9,57,71,1
224,Siswa 224,74,91,0,7,2,98,69,0
225,Siswa 225,93,92,4,2,2,56,88,0
226,Siswa 226,69,84,3,2,11,60,95,1
227,Siswa 227,79,90,3,1,6,99,100,0
228,Siswa 228,80,86,0,0,14,87,63,1
229,Siswa 229,89,82,7,5,6,98,71,0
230,Siswa 230,74,85,4,3,8,40,100,1
231,Siswa 231,61,80,1,7,12,54,74,1
232,Siswa 232,85,90,5,5,0,86,46,0
233,Siswa 233,67,85,8,7,0,53,66,1
234,Siswa 234,59,86,3,1,10,56,74,1
235,Siswa 235,51,79,7,6,8,52,43,1
236,Siswa 236,60,87,6,1,6,53,79,1
237,Siswa 237,82,93,5,1,1,62,62,0
238,Siswa 238,50,91,1,4,4,93,82,1
239,Siswa 239,83,82,3,7,8,97,67,0
240,Siswa 240,90,83,8,0,9,51,80,1
241,Siswa 241,49,78,8,3,11,86,93,1
242,Siswa 242,49,83,1,1,15,68,89,1
243,Siswa 243,90,74,8,7,11,93,59,1
244,Siswa 244,77,86,4,6,4,79,51,0
245,Siswa 245,89,77,3,7,13,47,71,1
246,Siswa 246,81,86,0,0,14,75,53,1
247,Siswa 247,99,73,8,8,11,87,80,1
248,Siswa 248,49,79,3,7,11,80,96,1
249,Siswa 249,76,87,6,2,5,77,67,0
250,Siswa 250,45,86,4,4,6,92,76,1
251,Siswa 251,92,87,1,0,12,100,71,1
252,Siswa 252,64,91,5,0,4,40,46,1
253,Siswa 253,64,80,4,6,10,70,94,1
254,Siswa 254,54,90,7,0,3,90,61,1
255,Siswa 255,100,86,8,6,0,87,86,0
256,Siswa 256,54,88,1,0,11,94,63,0
257,Siswa 257,98,82,7,1,10,54,78,1
258,Siswa 258,69,80,3,3,14,87,93,0
259,Siswa 259,41,86,4,5,5,81,61,1
260,Siswa 260,78,88,2,1,9,61,78,0
261,Siswa 261,84,85,2,7,6,76,94,0
262,Siswa 262,71,81,2,7,10,82,66,0
263,Siswa 263,51,88,1,8,3,40,81,1
264,Siswa 264,48,98,1,0,1,55,54,1
265,Siswa 265,43,86,4,3,7,61,66,1
266,Siswa 266,71,91,5,2,2,51,41,1
267,Siswa 267,71,88,1,3,8,60,41,0
268,Siswa 268,95,92,6,0,2,60,73,0
269,Siswa 269,54,78,2,6,14,83,81,1
270,Siswa 270,73,88,7,3,2,61,91,0
271,Siswa 271,42,93,6,0,1,88,71,1
272,Siswa 272,65,96,0,4,0,51,52,1
273,Siswa 273,41,86,5,3,6,61,48,1
274,Siswa 274,54,87,2,4,7,66,85,1
275,Siswa 275,51,79,8,1,12,45,59,1
276,Siswa 276,41,90,5,0,5,63,45,1
277,Siswa 277,67,86,8,1,5,41,95,1
278,Siswa 278,71,77,4,5,14,60,41,1
279,Siswa 279,83,80,5,3,12,46,68,1
280,Siswa 280,59,87,7,5,1,50,91,1
281,Siswa 281,73,78,8,2,12,79,65,1
282,Siswa 282,50,93,1,0,6,89,51,1
283,Siswa 283,72,89,0,3,8,46,56,1
284,Siswa 284,59,92,4,3,1,82,73,0
285,Siswa 285,90,78,0,7,15,95,94,1
286,Siswa 286,76,88,2,2,8,75,97,0
287,Siswa 287,56,78,4,3,15,99,59,1
288,Siswa 288,97,90,5,1,4,55,83,0
289,Siswa 289,64,90,5,5,0,82,95,0
290,Siswa 290,42,86,0,5,9,80,83,1
291,Siswa 291,44,87,8,4,1,81,98,1
292,Siswa 292,93,80,6,3,11,69,53,1
293,Siswa 293,63,91,1,1,7,66,48,1
294,Siswa 294,40,83,7,3,7,63,97,1
295,Siswa 295,93,89,2,6,3,44,77,0
296,Siswa 296,70,80,4,4,12,80,69,1
297,Siswa 297,100,93,3,1,3,43,72,0
298,Siswa 298,46,82,2,7,9,75,77,1
299,Siswa 299,69,80,3,5,12,60,87,1
300,Siswa 300,42,91,7,1,1,92,47,1
301,Siswa 301,42,77,7,8,8,83,77,1
302,Siswa 302,96,85,7,0,8,89,83,0
303,Siswa 303,58,70,7,8,15,67,44,1
304,Siswa 304,59,82,0,3,15,45,66,1
305,Siswa 305,43,90,4,5,1,50,64,1
306,Siswa 306,91,91,0,8,1,44,72,0
307,Siswa 307,53,89,1,0,10,52,58,1
308,Siswa 308,78,81,3,7,9,78,88,0
309,Siswa 309,48,77,5,5,13,98,50,1
310,Siswa 310,45,88,3,0,9,70,67,1
311,Siswa 311,85,76,2,7,15,95,63,1
312,Siswa 312,87,91,5,2,2,42,40,1
313,Siswa 313,51,86,1,6,7,50,98,1
314,Siswa 314,78,87,4,2,7,63,81,0
315,Siswa 315,88,87,2,4,7,82,64,0
316,Siswa 316,40,88,4,4,4,47,59,1
317,Siswa 317,73,91,2,3,4,100,40,0
318,Siswa 318,76,80,5,5,10,94,85,0
319,Siswa 319,95,96,1,2,1,56,62,0
320,Siswa 320,74,83,3,1,13,91,94,1
321,Siswa 321,57,76,6,5,13,74,70,1
322,Siswa 322,51,79,6,3,12,58,42,1
323,Siswa 323,57,95,1,0,4,89,45,0
324,Siswa 324,68,98,0,2,0,48,73,1
325,Siswa 325,66,79,8,3,10,45,55,1
326,Siswa 326,51,83,4,3,10,76,86,1
327,Siswa 327,65,81,8,8,3,40,41,1
328,Siswa 328,65,87,1,3,9,82,54,1
329,Siswa 329,44,72,6,7,15,88,81,1
330,Siswa 330,93,82,8,8,2,92,87,0
331,Siswa 331,95,80,5,5,10,99,86,0
332,Siswa 332,91,72,6,7,15,96,95,1
333,Siswa 333,40,77,1,7,15,81,58,1
334,Siswa 334,71,74,5,6,15,76,51,1
335,Siswa 335,94,71,8,6,15,97,62,0
336,Siswa 336,57,82,2,7,9,42,41,1
337,Siswa 337,56,77,6,8,9,50,51,1
338,Siswa 338,76,89,0,2,9,86,64,0
339,Siswa 339,81,82,8,3,7,80,49,1
340,Siswa 340,60,86,0,7,7,42,50,1
341,Siswa 341,60,88,6,3,3,69,85,0
342,Siswa 342,74,72,7,8,13,69,81,1
343,Siswa 343,84,90,2,8,0,56,99,0
344,Siswa 344,52,84,8,3,5,100,59,1
345,Siswa 345,44,86,4,3,7,75,75,1
346,Siswa 346,85,94,3,2,1,47,43,1
347,Siswa 347,72,92,5,1,2,81,67,0
348,Siswa 348,84,77,5,4,14,93,44,1
349,Siswa 349,82,92,1,1,6,52,66,1
350,Siswa 350,51,94,2,1,3,75,54,1
351,Siswa 351,88,74,6,7,13,100,75,1
352,Siswa 352,54,73,6,6,15,55,79,0
353,Siswa 353,47,89,4,5,2,86,54,1
354,Siswa 354,79,72,7,8,13,64,72,1
355,Siswa 355,85,83,1,3,13,43,44,1
356,Siswa 356,63,81,7,1,11,82,49,1
357,Siswa 357,71,83,2,6,9,74,63,0
358,Siswa 358,43,86,6,0,8,56,76,1
359,Siswa 359,46,87,3,5,5,44,92,1
360,Siswa 360,65,85,2,4,9,83,86,1
361,Siswa 361,99,86,1,3,10,99,59,1
362,Siswa 362,45,80,4,1,15,94,58,1
363,Siswa 363,96,87,5,0,8,54,40,1
364,Siswa 364,57,75,5,5,15,82,42,1
365,Siswa 365,45,80,3,7,10,84,81,1
366,Siswa 366,46,88,4,6,2,59,74,1
367,Siswa 367,45,85,1,0,14,75,92,1
368,Siswa 368,40,81,5,1,13,97,60,1
369,Siswa 369,57,80,4,2,14,91,75,1
370,Siswa 370,78,80,4,2,14,62,65,1
371,Siswa 371,84,89,2,6,3,49,88,0
372,Siswa 372,69,89,2,7,2,50,95,1
373,Siswa 373,58,85,0,3,12,100,85,1
374,Siswa 374,66,80,4,1,15,80,46,1
375,Siswa 375,68,83,0,8,9,98,50,1
376,Siswa 376,84,80,4,7,9,76,58,1
377,Siswa 377,94,83,6,0,11,66,67,1
378,Siswa 378,47,82,6,3,9,96,100,1
379,Siswa 379,60,87,5,3,5,92,93,0
380,Siswa 380,61,80,8,2,10,72,42,1
381,Siswa 381,71,83,4,7,6,59,44,1
382,Siswa 382,47,80,5,5,10,64,50,0
383,Siswa 383,64,72,5,8,15,56,83,1
384,Siswa 384,43,87,0,3,10,91,87,1
385,Siswa 385,78,84,2,4,10,46,94,1
386,Siswa 386,91,80,7,0,13,40,58,1
387,Siswa 387,69,89,0,8,3,81,98,0
388,Siswa 388,49,94,0,0,6,67,46,0
389,Siswa 389,85,86,2,3,9,47,67,1
390,Siswa 390,70,75,7,3,15,72,52,1
391,Siswa 391,95,77,3,8,12,52,100,1
392,Siswa 392,42,95,2,2,1,46,88,1
393,Siswa 393,88,79,5,6,10,67,84,1
394,Siswa 394,78,93,0,2,5,46,79,0
395,Siswa 395,64,84,2,6,8,47,79,1
396,Siswa 396,49,88,4,8,0,84,54,1
397,Siswa 397,69,92,3,0,5,56,74,1
398,Siswa 398,75,81,6,0,13,53,100,1
399,Siswa 399,99,91,0,0,9,73,66,0
400,Siswa 400,87,93,5,2,0,83,51,1
401,Siswa 401,74,88,8,2,2,76,52,0
402,Siswa 402,46,92,4,1,3,82,56,1
403,Siswa 403,59,88,0,1,11,90,81,1
404,Siswa 404,89,90,2,4,4,54,80,0
405,Siswa 405,45,85,7,7,1,94,62,1
406,Siswa 406,71,88,2,4,6,61,65,1
407,Siswa 407,64,96,2,2,0,40,99,1
408,Siswa 408,48,83,0,6,11,69,86,1
409,Siswa 409,70,86,8,5,1,99,76,0
410,Siswa 410,63,81,4,6,9,65,54,1
411,Siswa 411,58,79,4,3,14,54,94,1
412,Siswa 412,91,80,6,0,14,47,90,1
413,Siswa 413,76,91,4,1,4,77,76,0
414,Siswa 414,79,90,3,1,6,68,83,0
415,Siswa 415,75,90,2,1,7,69,64,1
416,Siswa 416,86,90,0,6,4,96,74,0
417,Siswa 417,43,82,2,6,10,71,86,1
418,Siswa 418,44,78,3,7,12,67,44,1
419,Siswa 419,44,82,5,3,10,48,99,1
420,Siswa 420,74,83,3,1,13,61,79,1
421,Siswa 421,51,87,1,4,8,59,86,1
422,Siswa 422,44,81,6,3,10,65,59,1
423,Siswa 423,58,88,3,6,3,93,84,1
424,Siswa 424,82,72,7,6,15,84,51,1
425,Siswa 425,100,80,5,5,10,69,86,0
426,Siswa 426,72,72,7,6,15,72,46,1
427,Siswa 427,43,80,6,2,12,77,87,1
428,Siswa 428,52,86,6,7,1,90,96,1
429,Siswa 429,84,76,7,2,15,73,45,1
430,Siswa 430,73,88,4,4,4,73,82,0
431,Siswa 431,96,87,3,8,2,79,55,0
432,Siswa 432,90,80,8,1,11,65,85,1
433,Siswa 433,82,79,7,8,6,90,95,0
434,Siswa 434,94,89,2,8,1,54,69,0
435,Siswa 435,51,83,7,4,6,74,76,1
436,Siswa 436,85,96,1,2,1,73,46,0
437,Siswa 437,69,88,1,5,6,95,92,1
438,Siswa 438,60,77,5,8,10,57,40,1
439,Siswa 439,69,97,2,0,1,51,84,1
440,Siswa 440,62,87,2,8,3,94,89,1
441,Siswa 441,50,75,5,6,14,73,48,1
442,Siswa 442,95,78,0,7,15,77,76,1
443,Siswa 443,53,93,1,6,0,55,85,1
444,Siswa 444,84,83,6,1,10,77,86,0
445,Siswa 445,40,84,2,8,6,64,75,1
446,Siswa 446,98,80,7,7,6,57,61,1
447,Siswa 447,74,92,2,5,1,49,81,0
448,Siswa 448,77,78,5,8,9,62,68,1
449,Siswa 449,98,91,7,1,1,84,100,0
450,Siswa 450,60,96,1,2,1,74,72,0
451,Siswa 451,44,90,5,2,3,84,88,1
452,Siswa 452,89,74,6,7,13,100,41,0
453,Siswa 453,83,80,8,0,12,50,57,1
454,Siswa 454,60,93,3,3,1,72,52,1
455,Siswa 455,94,79,6,8,7,59,89,1
456,Siswa 456,79,83,3,8,6,44,100,1
457,Siswa 457,42,87,4,6,3,51,90,1
458,Siswa 458,85,86,5,4,5,98,44,0
459,Siswa 459,93,94,1,3,2,93,78,0
460,Siswa 460,61,77,7,4,12,98,63,1
461,Siswa 461,45,90,3,0,7,81,73,1
462,Siswa 462,77,78,6,3,13,83,72,1
463,Siswa 463,44,82,1,5,12,91,92,1
464,Siswa 464,63,87,8,2,3,76,60,0
465,Siswa 465,60,79,5,5,11,51,51,1
466,Siswa 466,59,79,0,7,14,51,50,1
467,Siswa 467,75,81,5,2,12,83,78,1
468,Siswa 468,52,83,7,4,6,56,97,1
469,Siswa 469,44,84,5,7,4,93,49,1
470,Siswa 470,72,82,3,7,8,71,92,0
471,Siswa 471,47,93,0,6,1,52,93,1
472,Siswa 472,93,88,4,4,4,49,82,0
473,Siswa 473,60,80,2,3,15,46,87,1
474,Siswa 474,66,89,0,1,10,51,68,1
475,Siswa 475,88,75,7,4,14,58,64,1
476,Siswa 476,67,82,5,7,6,81,53,1
477,Siswa 477,44,90,0,5,5,90,85,1
478,Siswa 478,91,87,2,2,9,50,82,1
479,Siswa 479,67,69,8,8,15,69,73,1
480,Siswa 480,60,77,8,0,15,74,70,1
481,Siswa 481,80,88,8,1,3,57,93,0
482,Siswa 482,65,90,3,1,6,81,66,1
483,Siswa 483,69,87,0,6,7,85,48,1
484,Siswa 484,87,74,8,5,13,55,82,1
485,Siswa 485,42,85,8,0,7,51,95,1
486,Siswa 486,48,80,3,5,12,71,96,1
487,Siswa 487,82,82,3,4,11,65,42,1
488,Siswa 488,47,89,3,3,5,90,49,1
489,Siswa 489,98,85,3,2,10,99,98,0
490,Siswa 490,54,88,5,0,7,70,77,1
491,Siswa 491,76,82,1,4,13,95,62,1
492,Siswa 492,43,88,0,5,7,61,78,1
493,Siswa 493,83,76,6,5,13,94,76,1
494,Siswa 494,95,74,8,3,15,89,67,1
495,Siswa 495,55,89,8,1,2,78,91,1
496,Siswa 496,67,87,3,1,9,97,90,1
497,Siswa 497,75,75,6,5,14,71,50,1
498,Siswa 498,64,75,6,6,13,91,61,1
499,Siswa 499,92,76,5,7,12,88,62,1
500,Siswa 500,69,92,1,2,5,80,81,0
501,Siswa 501,42,86,6,1,7,59,62,1
502,Siswa 502,96,80,5,8,7,71,88,0
503,Siswa 503,84,73,7,8,12,44,51,1
504,Siswa 504,47,82,6,1,11,56,82,1
505,Siswa 505,40,84,0,3,13,67,41,1
506,Siswa 506,91,84,1,5,10,94,96,0
507,Siswa 507,59,87,1,7,5,71,73,1
508,Siswa 508,47,90,6,3,1,61,86,1
509,Siswa 509,43,77,6,8,9,70,92,1
510,Siswa 510,47,91,5,1,3,99,98,1
511,Siswa 511,78,86,1,8,5,41,62,0
512,Siswa 512,58,87,3,7,3,94,70,1
513,Siswa 513,69,84,2,2,12,40,56,1
514,Siswa 514,60,73,7,7,13,94,52,1
515,Siswa 515,84,81,8,6,5,56,59,1
516,Siswa 516,59,76,3,6,15,93,56,1
517,Siswa 517,78,82,3,4,11,93,52,1
518,Siswa 518,74,91,3,0,6,52,85,1
519,Siswa 519,99,91,3,2,4,44,49,1
520,Siswa 520,67,79,4,3,14,80,83,0
521,Siswa 521,67,78,3,8,11,82,60,1
522,Siswa 522,69,73,4,8,15,80,59,1
523,Siswa 523,71,80,6,3,11,74,76,1
524,Siswa 524,59,88,7,2,3,92,41,1
525,Siswa 525,69,87,6,2,5,82,88,0
526,Siswa 526,44,94,0,5,1,88,46,1
527,Siswa 527,92,81,8,5,6,100,95,0
528,Siswa 528,92,74,5,8,13,86,60,1
529,Siswa 529,92,84,0,7,9,60,91,1
530,Siswa 530,77,86,1,6,7,73,75,0
531,Siswa 531,70,85,7,4,4,88,88,0
532,Siswa 532,84,81,7,2,10,61,55,1
533,Siswa 533,51,82,0,5,13,44,54,1
534,Siswa 534,76,80,8,5,7,91,86,0
535,Siswa 535,54,97,0,0,3,43,76,1
536,Siswa 536,52,79,7,1,13,60,77,1
537,Siswa 537,79,83,4,4,9,51,92,1
538,Siswa 538,86,89,6,5,0,61,66,0
539,Siswa 539,79,76,4,7,13,40,53,1
540,Siswa 540,69,90,8,2,0,40,52,1
541,Siswa 541,42,80,6,4,10,65,90,1
542,Siswa 542,92,91,6,1,2,46,55,0
543,Siswa 543,84,79,5,6,10,64,98,1
544,Siswa 544,86,78,2,6,14,87,61,1
545,Siswa 545,93,87,6,3,4,91,79,0
546,Siswa 546,68,82,5,1,12,99,51,0
547,Siswa 547,62,90,7,0,3,46,91,1
548,Siswa 548,44,80,7,5,8,41,62,1
549,Siswa 549,51,89,6,1,4,93,42,1
550,Siswa 550,81,86,2,0,12,91,59,1
551,Siswa 551,42,95,3,0,2,58,96,1
552,Siswa 552,60,85,4,6,5,86,82,0
553,Siswa 553,83,85,6,8,1,77,63,0
554,Siswa 554,92,84,4,2,10,46,55,1
555,Siswa 555,98,84,8,7,1,94,47,0
